term,coef
rpg maps,0.04192882911073843
printable terrain,0.041917273357990406
hard,0.04169657936179604
bonu,0.04087900950856866
reign,0.04076223711751514
edit,0.04064169186440602
polit,0.04056720353015832
fantasy world,0.04035920804602428
sceneri,0.04014796301869156
female stl,0.03914809696826345
ultim,0.039016287024339597
gm,0.038641692485557586
compendium,0.038032558443998915
metal dice,0.03790752671066369
rune,0.037826533295705136
drow,0.03757108307352713
mini adventures,0.03682516523032052
egyptian,0.03667505658257847
solo,0.036463016729437636
mimic,0.03637517135409084
gener,0.03623717767893313
classic,0.03550605801565468
magnet,0.03486179339870995
sharp,0.03461012444675637
screen,0.03374270402131433
effect,0.0330273309705179
mayhem,0.03244402117959827
compil,0.032364254994044286
citi,0.03230057955700565
acclaim,0.03201806636884614
crusad,0.03193767024642271
forgotten,0.03160201854159354
spell,0.030994655379419627
beautifulli,0.03086931974034511
readi,0.03071559576715315
challeng,0.030643109368277344
track,0.030625612376491956
random tables,0.030110516318145892
creator,0.029967021866650227
customiz,0.029752725325325403
roleplaying games,0.029682601294603008
rise,0.029464865375305873
sail,0.02903636416715561
dice set,0.028776405528133972
dawn,0.028534508226202834
evolv,0.0281795577257964
fan,0.027286749288630792
call,0.027067659882288743
win,0.02694033130450614
hunter,0.026733377018316337
alchemi,0.026390865920762674
explor,0.026304123716108362
dnd,0.026247834466026982
edition supplement,0.024641714702817133
cosmic horror,0.024476108299758485
cute,0.024209869535609517
enchant,0.024163968695270717
school fantasy,0.024093766236911434
fantasy adventures,0.023388259868029122
standalon,0.023377533060941428
spellbook,0.023027877679985438
fantasy roleplaying,0.022811064147951476
return,0.022165805781590425
solid,0.02201484792722688
trap,0.022000212165335493
ruin,0.021924051091334683
enhanc,0.021848263451980803
shop,0.02158276807949812
maximum,0.021578497342260982
solo rpg,0.02152114908601342
gritti,0.021521072365817316
immers,0.021445433597831413
treasur,0.021112166116907714
calendar,0.020931006546933716
romanc,0.020665911118360008
altern,0.020593249798911556
world building,0.02044695281285116
sequel,0.020028748932253513
dark,0.019932542258926985
book,0.01977393259452114
deep,0.019690357391771128
nobl,0.019665980188685938
solo adventure,0.01947561516985138
backer,0.019321346896375463
ancient,0.01925830454662803
supplement,0.01919098583347166
japanes,0.019098658741291255
maiden,0.01882810500654718
secret,0.018774510960684433
science fiction,0.018572361520227204
greek mythology,0.018305849576880466
weird,0.018177568659597673
cool,0.018015770201836187
matter,0.01794279404120207
shadowdark,0.017889092854103446
magical items,0.017587682580709786
dice sets,0.017298087202651233
uniqu,0.01722050646659488
tabletop fantasy,0.01669277959624193
relic,0.01660825097982874
printing miniatures,0.01644331625118519
dcc,0.01642146137181677
solut,0.016326856073472954
fairy tale,0.01588824934294289
epic,0.015570377106237737
tracker,0.015082837696688936
inclus,0.01399164207214072
gameplai,0.01397120757774326
incred,0.013774356682993477
box,0.013621049983434098
roleplai,0.0132757010269781
kit,0.01297916275471972
creat,0.0129502416204223
durabl,0.012477800311592646
light tabletop,0.012309777261251811
